N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,CODE
1.0,삼성전자,63200.0,300.0,+0.48%,100.0,3772903.0,5969783.0,50.63,9098662.0,10.25,13.92,005930
2.0,LG에너지솔루션,525000.0,3000.0,+0.57%,500.0,1228500.0,234000.0,5.34,298742.0,213.94,10.68,373220
3.0,SK하이닉스,93400.0,2800.0,+3.09%,5000.0,679954.0,728002.0,51.29,2155401.0,7.33,16.84,000660
4.0,삼성바이오로직스,805000.0,2000.0,-0.25%,2500.0,572951.0,71174.0,10.71,41007.0,109.29,8.21,207940
5.0,삼성SDI,739000.0,16000.0,+2.21%,5000.0,508170.0,68765.0,48.38,199251.0,30.3,8.45,006400
6.0,LG화학,676000.0,6000.0,+0.90%,5000.0,477204.0,70592.0,48.58,160006.0,23.79,18.47,051910
7.0,삼성전자우,56500.0,400.0,+0.71%,100.0,464931.0,822887.0,72.0,663049.0,9.17,,005935
8.0,현대차,173700.0,2100.0,+1.22%,5000.0,371142.0,213668.0,29.55,501939.0,7.75,6.84,005380
9.0,NAVER,224000.0,1000.0,+0.45%,100.0,367470.0,164049.0,47.69,742635.0,39.46,106.72,035420
10.0,기아,73500.0,300.0,+0.41%,5000.0,297942.0,405363.0,36.48,1148763.0,6.45,14.69,000270
11.0,카카오,65000.0,700.0,+1.09%,100.0,289584.0,445514.0,26.22,2234163.0,18.64,17.1,035720
12.0,POSCO홀딩스,307000.0,2500.0,+0.82%,5000.0,259634.0,84571.0,51.86,494162.0,5.03,13.97,005490
13.0,셀트리온,161400.0,300.0,+0.19%,1000.0,227283.0,140819.0,21.2,344423.0,39.76,16.04,068270
14.0,KB금융,53000.0,2300.0,-4.16%,5000.0,216715.0,408897.0,74.3,1959000.0,4.69,9.8,105560
15.0,삼성물산,113100.0,700.0,-0.62%,100.0,211369.0,186887.0,17.03,240620.0,11.95,5.4,028260
16.0,현대모비스,213000.0,5500.0,+2.65%,5000.0,200827.0,94285.0,35.92,436340.0,8.41,6.87,012330
17.0,신한지주,39450.0,1350.0,-3.31%,5000.0,200716.0,508785.0,63.66,2029156.0,4.4,8.8,055550
18.0,LG전자,113300.0,6100.0,+5.69%,5000.0,185413.0,163648.0,26.37,1949315.0,12.96,6.32,066570
19.0,포스코케미칼,228500.0,0.0,0.00%,500.0,177003.0,77463.0,7.62,749395.0,110.07,7.92,003670
20.0,SK이노베이션,167500.0,1600.0,-0.95%,5000.0,154880.0,92466.0,25.41,406686.0,7.09,1.91,096770
21.0,SK,198000.0,2000.0,+1.02%,200.0,146816.0,74149.0,22.86,99656.0,4.29,10.19,034730
22.0,하나금융지주,46850.0,2150.0,-4.39%,5000.0,138631.0,295903.0,71.9,1671757.0,3.78,10.86,086790
23.0,삼성생명,67100.0,0.0,0.00%,500.0,134200.0,200000.0,14.72,141665.0,18.93,4.01,032830
24.0,LG,80900.0,300.0,-0.37%,5000.0,127256.0,157301.0,36.47,228529.0,5.89,12.36,003550
25.0,카카오뱅크,26100.0,200.0,+0.77%,5000.0,124427.0,476731.0,13.92,1337479.0,51.99,4.91,323410
26.0,한국전력,19170.0,130.0,-0.67%,5000.0,123065.0,641964.0,14.57,1104225.0,-0.6,-7.99,015760
27.0,KT&G,88600.0,100.0,+0.11%,5000.0,121641.0,137292.0,44.25,335387.0,10.47,10.74,033780
28.0,LG생활건강,700000.0,4000.0,+0.57%,5000.0,109327.0,15618.0,36.3,31427.0,25.71,16.65,051900
29.0,HMM,22150.0,750.0,+3.50%,5000.0,108322.0,489039.0,10.45,2068087.0,0.94,88.62,011200
30.0,삼성전기,144900.0,300.0,+0.21%,5000.0,108231.0,74694.0,30.39,235858.0,11.79,14.29,009150
31.0,고려아연,538000.0,2000.0,+0.37%,5000.0,106864.0,19863.0,23.52,22037.0,14.06,11.07,010130
32.0,SK텔레콤,47700.0,0.0,0.00%,100.0,104383.0,218833.0,44.49,746366.0,11.04,13.63,017670
33.0,두산에너빌리티,15960.0,240.0,+1.53%,5000.0,101874.0,638308.0,12.14,2744365.0,319.2,10.67,034020
34.0,삼성에스디에스,128400.0,4400.0,+3.55%,500.0,99353.0,77378.0,13.77,143269.0,10.36,8.8,018260
35.0,현대중공업,110000.0,200.0,+0.18%,5000.0,97650.0,88773.0,6.35,138795.0,-13.75,-14.87,329180
36.0,삼성화재,204500.0,1500.0,+0.74%,500.0,96882.0,47375.0,51.09,50049.0,8.93,7.09,000810
37.0,S-Oil,85700.0,1400.0,-1.61%,2500.0,96483.0,112583.0,80.3,375169.0,4.62,21.76,010950
38.0,엔씨소프트,421500.0,6500.0,-1.52%,500.0,92536.0,21954.0,45.17,143520.0,15.65,12.62,036570
39.0,우리금융지주,12590.0,360.0,-2.78%,5000.0,91663.0,728061.0,40.76,3281425.0,3.0,10.59,316140
40.0,아모레퍼시픽,151900.0,2800.0,+1.88%,500.0,88850.0,58493.0,25.45,149771.0,153.43,4.2,090430
41.0,한화솔루션,45600.0,350.0,-0.76%,5000.0,87223.0,191278.0,26.31,1071224.0,30.0,8.79,009830
42.0,KT,33350.0,200.0,-0.60%,5000.0,87081.0,261112.0,43.69,1245403.0,6.11,9.36,030200
43.0,크래프톤,174300.0,2100.0,+1.22%,100.0,85821.0,49237.0,30.16,174075.0,12.72,17.86,259960
44.0,대한항공,23300.0,150.0,-0.64%,5000.0,85795.0,368221.0,15.64,1240797.0,4.64,11.6,003490
45.0,하이브,202000.0,13000.0,+6.88%,500.0,83534.0,41353.0,14.19,855653.0,30.53,6.83,352820
46.0,기업은행,10400.0,100.0,-0.95%,5000.0,82932.0,797426.0,13.56,1309429.0,3.17,9.21,024110
47.0,카카오페이,60200.0,1000.0,+1.69%,500.0,80476.0,133681.0,42.34,490963.0,-304.04,-2.45,377300
48.0,롯데케미칼,175800.0,4900.0,-2.71%,5000.0,75199.0,42775.0,24.64,159905.0,28.75,9.87,011170
49.0,LG이노텍,281000.0,3500.0,+1.26%,5000.0,66505.0,23667.0,23.4,145459.0,6.4,30.94,011070
50.0,KODEX 200,32755.0,195.0,+0.60%,0.0,65199.0,199050.0,9.21,4374461.0,,,069500
51.0,현대글로비스,161800.0,200.0,-0.12%,500.0,60675.0,37500.0,47.1,110948.0,5.58,14.41,086280
52.0,한국조선해양,84000.0,200.0,-0.24%,5000.0,59449.0,70773.0,19.65,175382.0,-9.29,-8.95,009540
53.0,F&F,151900.0,800.0,+0.53%,100.0,58188.0,38307.0,12.97,62642.0,14.37,,383220
54.0,메리츠금융지주,43600.0,650.0,+1.51%,500.0,55621.0,127572.0,6.08,308127.0,5.28,22.33,138040
55.0,SK바이오사이언스,72300.0,300.0,+0.42%,500.0,55515.0,76784.0,3.96,142156.0,19.88,38.08,302440
56.0,메리츠화재,51600.0,0.0,0.00%,500.0,53940.0,104535.0,11.81,0.0,6.85,26.12,000060
57.0,삼성엔지니어링,27200.0,100.0,+0.37%,5000.0,53312.0,196000.0,42.96,1035764.0,11.05,20.67,028050
58.0,SK바이오팜,67900.0,500.0,+0.74%,500.0,53175.0,78313.0,6.38,86081.0,-109.69,15.75,326030
59.0,LG디스플레이,14700.0,350.0,+2.44%,5000.0,52599.0,357816.0,19.36,1747953.0,-5.27,9.68,034220
60.0,SK스퀘어,37000.0,450.0,+1.23%,100.0,52343.0,141468.0,42.62,333115.0,3.19,,402340
61.0,넷마블,60700.0,1700.0,+2.88%,100.0,52174.0,85954.0,22.5,264403.0,-17.47,4.29,251270
62.0,삼성중공업,5790.0,50.0,-0.86%,1000.0,50952.0,880000.0,16.8,3760114.0,-7.2,-36.89,010140
63.0,맥쿼리인프라,12550.0,100.0,+0.80%,0.0,50808.0,404846.0,13.51,744371.0,,,088980
64.0,TIGER CD금리투자KIS(합성),51905.0,5.0,+0.01%,0.0,50360.0,97024.0,0.0,585910.0,,,357870
65.0,CJ제일제당,334500.0,12500.0,-3.60%,5000.0,50356.0,15054.0,25.0,269437.0,8.22,10.76,097950
66.0,오리온,124000.0,2300.0,+1.89%,500.0,49025.0,39536.0,40.0,105375.0,16.15,12.75,271560
67.0,한국항공우주,50200.0,1200.0,+2.45%,5000.0,48932.0,97475.0,25.65,998508.0,37.77,5.19,047810
68.0,LG유플러스,11140.0,120.0,+1.09%,5000.0,48638.0,436611.0,38.02,1324124.0,8.16,9.47,032640
69.0,HD현대,61500.0,1300.0,-2.07%,1000.0,48581.0,78993.0,18.83,143561.0,4.32,-1.99,267250
70.0,한온시스템,8970.0,100.0,+1.13%,100.0,47882.0,533800.0,16.33,556012.0,31.36,13.83,018880
71.0,SK아이이테크놀로지,66600.0,0.0,0.00%,1000.0,47484.0,71298.0,7.52,376912.0,-98.67,5.57,361610
72.0,DB손해보험,65800.0,300.0,+0.46%,500.0,46586.0,70800.0,43.59,93750.0,4.73,13.38,005830
73.0,한국타이어앤테크놀로지,37250.0,250.0,+0.68%,500.0,46143.0,123875.0,36.64,195240.0,6.35,7.69,161390
74.0,강원랜드,21400.0,0.0,0.00%,500.0,45783.0,213940.0,20.93,594707.0,47.98,-0.33,035250
75.0,현대제철,34250.0,600.0,+1.78%,5000.0,45705.0,133446.0,22.22,428646.0,2.8,8.54,004020
76.0,한화에어로스페이스,89000.0,1500.0,+1.71%,5000.0,45061.0,50630.0,27.2,771647.0,24.37,9.21,012450
77.0,미래에셋증권,7120.0,10.0,-0.14%,5000.0,43811.0,615316.0,12.9,780367.0,7.61,11.66,006800
78.0,코웨이,57100.0,400.0,+0.71%,500.0,42140.0,73800.0,61.59,104796.0,8.98,27.41,021240
79.0,금호석유,142900.0,600.0,+0.42%,5000.0,41890.0,29314.0,21.9,59829.0,4.06,47.76,011780
80.0,현대건설,37150.0,100.0,+0.27%,5000.0,41369.0,111356.0,24.85,374160.0,6.23,5.89,000720
81.0,메리츠증권,6700.0,70.0,+1.06%,1000.0,41208.0,615041.0,14.65,998363.0,5.59,15.77,008560
82.0,GS,43550.0,600.0,+1.40%,5000.0,40465.0,92915.0,25.5,178354.0,1.86,15.55,078930
83.0,포스코인터내셔널,22750.0,300.0,-1.30%,5000.0,40022.0,175923.0,6.06,378886.0,4.91,10.86,047050
84.0,유한양행,52100.0,200.0,-0.38%,1000.0,39929.0,76639.0,20.21,158008.0,54.27,5.45,000100
85.0,두산밥캣,37450.0,400.0,+1.08%,500.0,37543.0,100249.0,30.32,254443.0,7.77,9.19,241560
86.0,아모레G,43550.0,950.0,+2.23%,500.0,35911.0,82458.0,9.8,178650.0,112.53,5.49,002790
87.0,삼성카드,30850.0,250.0,-0.80%,5000.0,35742.0,115859.0,6.49,49250.0,6.1,7.53,029780
88.0,SKC,92600.0,800.0,+0.87%,5000.0,35066.0,37868.0,13.79,154201.0,26.06,11.6,011790
89.0,한미약품,273500.0,4500.0,+1.67%,2500.0,34358.0,12562.0,16.34,25656.0,42.53,8.75,128940
90.0,한국금융지주,61600.0,600.0,+0.98%,5000.0,34327.0,55726.0,37.19,127734.0,4.32,27.12,071050
91.0,현대차2우B,93000.0,2500.0,+2.76%,5000.0,33931.0,36485.0,60.27,115716.0,4.15,,005387
92.0,롯데지주,31700.0,200.0,+0.63%,200.0,33256.0,104909.0,9.53,79234.0,18.98,4.61,004990
93.0,현대오토에버,120400.0,2400.0,+2.03%,500.0,33018.0,27424.0,2.53,64420.0,36.74,7.26,307950
94.0,팬오션,6030.0,100.0,-1.63%,1000.0,32235.0,534570.0,15.17,2583487.0,4.14,17.16,028670
95.0,BGF리테일,185200.0,300.0,+0.16%,1000.0,32010.0,17284.0,33.55,29984.0,17.0,19.61,282330
96.0,호텔신라,81300.0,300.0,-0.37%,5000.0,31909.0,39248.0,19.5,219832.0,67.02,4.51,008770
97.0,GS리테일,30450.0,600.0,+2.01%,1000.0,31887.0,104718.0,8.6,270490.0,35.32,25.58,007070
98.0,NH투자증권,9610.0,30.0,+0.31%,5000.0,31873.0,331666.0,12.84,322908.0,7.6,14.77,005940
99.0,TIGER 차이나전기차SOLACTIVE,12560.0,135.0,-1.06%,0.0,31279.0,249040.0,0.32,3828109.0,,,371460
100.0,이마트,110000.0,7500.0,+7.32%,5000.0,30663.0,27876.0,30.05,326042.0,3.31,16.25,139480
101.0,삼성증권,34200.0,50.0,-0.15%,5000.0,30541.0,89300.0,28.16,241861.0,5.5,16.94,016360
102.0,KODEX KOFR금리액티브(합성),102110.0,15.0,+0.01%,0.0,30379.0,29751.0,0.0,170807.0,,,423160
103.0,쌍용C&E,5970.0,90.0,+1.53%,100.0,30080.0,503860.0,2.62,616002.0,45.57,11.12,003410
104.0,현대미포조선,74600.0,300.0,+0.40%,5000.0,29797.0,39942.0,20.66,200084.0,110.68,-7.11,010620
105.0,한국가스공사,32100.0,400.0,-1.23%,5000.0,29632.0,92313.0,9.36,208706.0,2.51,11.63,036460
106.0,일진머티리얼즈,64100.0,700.0,+1.10%,500.0,29557.0,46111.0,9.88,188480.0,53.02,7.85,020150
107.0,에스디바이오센서,27950.0,150.0,-0.53%,500.0,29175.0,104383.0,15.09,182252.0,2.11,72.47,137310
108.0,씨에스윈드,69000.0,2300.0,-3.23%,500.0,29098.0,42171.0,12.16,1173158.0,231.54,10.13,112610
109.0,현대로템,26400.0,200.0,-0.75%,5000.0,28814.0,109142.0,6.65,1402946.0,26.27,5.01,064350
110.0,대우조선해양,26500.0,500.0,+1.92%,5000.0,28432.0,107291.0,2.79,819617.0,-1.66,-55.86,042660
111.0,현대해상,31400.0,50.0,-0.16%,500.0,28072.0,89400.0,35.56,277426.0,5.16,8.82,001450
112.0,한진칼,41850.0,1300.0,+3.21%,2500.0,27940.0,66762.0,16.94,184203.0,2.95,1.11,180640
113.0,키움증권,106000.0,3500.0,+3.41%,5000.0,27793.0,26220.0,25.26,183165.0,5.49,25.38,039490
114.0,KODEX 200선물인버스2X,2800.0,35.0,-1.23%,0.0,27023.0,965100.0,2.09,127288638.0,,,252670
115.0,한화시스템,13670.0,20.0,+0.15%,5000.0,25825.0,188919.0,3.14,704884.0,-284.79,6.04,272210
116.0,롯데쇼핑,89700.0,1100.0,-1.21%,5000.0,25375.0,28289.0,12.32,77672.0,-4.89,-2.94,023530
117.0,KODEX 종합채권(AA-이상)액티브,104680.0,180.0,+0.17%,0.0,25046.0,23926.0,0.0,11088.0,,,273130
118.0,한전기술,64500.0,1200.0,+1.90%,200.0,24652.0,38220.0,3.18,171701.0,121.47,3.25,052690
119.0,휠라홀딩스,39750.0,1000.0,+2.58%,1000.0,24149.0,60752.0,44.38,372559.0,11.21,16.2,081660
120.0,한솔케미칼,211000.0,500.0,-0.24%,5000.0,23917.0,11335.0,40.27,25174.0,16.74,23.88,014680
121.0,CJ,81400.0,700.0,-0.85%,5000.0,23750.0,29177.0,17.81,30060.0,8.27,5.66,001040
122.0,서울가스,474000.0,500.0,-0.11%,5000.0,23700.0,5000.0,4.48,4565.0,112.27,0.8,017390
123.0,제일기획,20600.0,150.0,-0.72%,200.0,23698.0,115041.0,33.28,328008.0,12.02,15.58,030000
124.0,LG화학우,305000.0,5000.0,+1.67%,5000.0,23451.0,7689.0,70.09,11628.0,10.73,,051915
125.0,동원산업,45750.0,450.0,-0.97%,1000.0,22867.0,49983.0,2.36,59077.0,4.15,12.59,006040
126.0,두산퓨얼셀,34750.0,50.0,+0.14%,100.0,22759.0,65494.0,15.47,311202.0,695.0,1.69,336260
127.0,BNK금융지주,6940.0,100.0,-1.42%,5000.0,22620.0,325935.0,36.65,1138880.0,2.79,8.76,138930
128.0,현대차우,92300.0,1900.0,+2.10%,5000.0,22481.0,24357.0,58.83,48921.0,4.12,,005385
129.0,OCI,93400.0,500.0,+0.54%,5000.0,22275.0,23849.0,16.05,175497.0,2.76,23.93,010060
130.0,HL만도,46950.0,750.0,+1.62%,1000.0,22046.0,46957.0,23.07,323366.0,10.4,9.31,204320
131.0,한화생명,2535.0,20.0,+0.80%,5000.0,22017.0,868530.0,7.2,1867429.0,2.05,10.79,088350
132.0,농심,357500.0,2500.0,+0.70%,5000.0,21745.0,6083.0,16.1,20009.0,18.7,4.73,004370
133.0,에스원,57200.0,400.0,+0.70%,500.0,21736.0,37999.0,54.1,61060.0,17.07,9.13,012750
134.0,한미사이언스,30900.0,100.0,+0.32%,500.0,21617.0,69957.0,2.03,69417.0,42.62,6.37,008930
135.0,KCC,242000.0,5000.0,+2.11%,5000.0,21505.0,8886.0,13.4,42033.0,-7.77,-0.92,002380
136.0,한화,28550.0,450.0,-1.55%,5000.0,21401.0,74959.0,18.14,140895.0,2.06,20.22,000880
137.0,TIGER MSCI Korea TR,13650.0,85.0,+0.63%,0.0,21362.0,156500.0,0.0,9687.0,,,310970
138.0,TIGER 미국나스닥100,70855.0,800.0,+1.14%,0.0,21327.0,30100.0,0.06,59136.0,,,133690
139.0,코스모신소재,69500.0,300.0,+0.43%,1000.0,21302.0,30651.0,7.18,578219.0,74.41,9.42,005070
140.0,LS,66100.0,1300.0,-1.93%,5000.0,21284.0,32200.0,13.81,120040.0,5.31,8.15,006260
141.0,DB하이텍,47900.0,1200.0,+2.57%,5000.0,21267.0,44399.0,27.17,555702.0,3.51,33.35,000990
142.0,신세계,211000.0,2000.0,-0.94%,5000.0,20773.0,9845.0,24.97,129212.0,6.99,8.54,004170
143.0,KODEX 200TR,11025.0,70.0,+0.64%,0.0,20457.0,185550.0,0.0,283336.0,,,278530
144.0,동서,20450.0,50.0,+0.25%,500.0,20389.0,99700.0,3.16,45475.0,18.42,8.05,026960
145.0,CJ대한통운,86500.0,0.0,0.00%,5000.0,19733.0,22812.0,16.73,34332.0,9.78,1.59,000120
146.0,영원무역,44450.0,1400.0,+3.25%,500.0,19696.0,44311.0,30.52,145355.0,3.47,14.71,111770
147.0,삼천리,480500.0,5500.0,+1.16%,5000.0,19484.0,4055.0,14.17,17912.0,24.51,4.52,004690
148.0,KODEX 레버리지,15610.0,180.0,+1.17%,0.0,19473.0,124750.0,1.36,21171945.0,,,122630
149.0,대한전선,1551.0,10.0,+0.65%,100.0,19302.0,1244473.0,2.64,3988210.0,59.65,7.78,001440
150.0,GS건설,22350.0,50.0,+0.22%,5000.0,19127.0,85581.0,27.41,533230.0,3.82,9.32,006360
151.0,오뚜기,470000.0,1000.0,-0.21%,5000.0,18837.0,4008.0,11.46,3827.0,12.1,8.91,007310
152.0,효성티앤씨,433000.0,2500.0,-0.57%,5000.0,18739.0,4328.0,8.81,28103.0,12.32,76.22,298020
153.0,JB금융지주,9480.0,430.0,-4.34%,5000.0,18674.0,196983.0,31.55,1411877.0,3.21,12.8,175330
154.0,대성홀딩스,115700.0,1800.0,-1.53%,1000.0,18616.0,16089.0,5.49,66653.0,116.4,3.61,016710
155.0,대우건설,4460.0,10.0,+0.22%,5000.0,18537.0,415623.0,12.18,594489.0,3.69,16.47,047040
156.0,효성첨단소재,406000.0,3000.0,-0.73%,5000.0,18189.0,4480.0,6.8,15359.0,10.04,54.69,298050
157.0,TIGER 200,32780.0,185.0,+0.57%,0.0,18111.0,55250.0,3.19,633158.0,,,102110
158.0,TIGER 미국S&P500,13130.0,90.0,+0.69%,0.0,17949.0,136700.0,0.15,480022.0,,,360750
159.0,하이트진로,25450.0,200.0,-0.78%,5000.0,17849.0,70134.0,13.22,172174.0,15.71,6.62,000080
160.0,금양,29800.0,1750.0,+6.24%,500.0,17299.0,58050.0,3.24,3439938.0,98.35,13.57,001570
161.0,LIG넥스원,78200.0,400.0,-0.51%,5000.0,17204.0,22000.0,12.51,232074.0,9.38,14.63,079550
162.0,쌍용차,8760.0,0.0,0.00%,5000.0,16377.0,186956.0,24.6,0.0,-2.47,305.77,003620
163.0,현대두산인프라코어,8280.0,70.0,+0.85%,1000.0,16375.0,197763.0,13.47,4312213.0,3.56,24.63,042670
164.0,롯데칠성,172900.0,300.0,-0.17%,500.0,16043.0,9279.0,12.41,37164.0,14.59,9.96,005300
165.0,TIGER 미국필라델피아반도체나스닥,10370.0,100.0,+0.97%,0.0,15794.0,152300.0,0.47,642656.0,,,381180
166.0,한전KPS,34900.0,100.0,-0.29%,200.0,15705.0,45000.0,6.34,185796.0,23.95,9.12,051600
167.0,LX세미콘,95600.0,4600.0,+5.05%,500.0,15549.0,16264.0,29.58,287199.0,5.37,44.49,108320
168.0,한미반도체,15600.0,180.0,-1.14%,100.0,15185.0,97339.0,5.6,2676488.0,12.36,34.59,042700
169.0,롯데정밀화학,58800.0,1500.0,+2.62%,5000.0,15170.0,25800.0,20.31,91093.0,4.94,30.43,004000
170.0,녹십자,128900.0,600.0,+0.47%,5000.0,15064.0,11687.0,21.98,16450.0,13.88,10.3,006280
171.0,LS ELECTRIC,49800.0,300.0,+0.61%,5000.0,14940.0,30000.0,13.01,120571.0,15.22,5.86,010120
172.0,현대위아,54900.0,800.0,+1.48%,5000.0,14930.0,27195.0,10.13,204172.0,7.29,1.96,011210
173.0,솔루스첨단소재,41900.0,1900.0,+4.75%,100.0,14712.0,35111.0,5.74,222256.0,-952.27,4.0,336370
174.0,효성,69800.0,100.0,+0.14%,5000.0,14708.0,21071.0,4.67,21027.0,12.65,18.04,004800
175.0,TIGER 미국테크TOP10 INDXX,9765.0,125.0,+1.30%,0.0,14672.0,150250.0,0.16,419957.0,,,381170
176.0,덴티움,130500.0,1100.0,+0.85%,500.0,14445.0,11069.0,26.03,79057.0,15.22,21.29,145720
177.0,SK케미칼,83300.0,900.0,+1.09%,5000.0,14372.0,17254.0,15.22,42657.0,7.82,11.19,285130
178.0,두산,86800.0,600.0,-0.69%,5000.0,14343.0,16524.0,7.44,72752.0,-17.53,11.08,000150
179.0,대웅제약,123000.0,1700.0,-1.36%,2500.0,14251.0,11587.0,6.08,175492.0,17.32,4.39,069620
180.0,현대일렉트릭,39300.0,150.0,-0.38%,5000.0,14167.0,36047.0,15.57,148437.0,28.85,-5.08,267260
181.0,현대백화점,58000.0,1200.0,-2.03%,5000.0,13573.0,23402.0,25.12,108966.0,6.46,4.36,069960
182.0,DL이앤씨,34850.0,50.0,-0.14%,5000.0,13485.0,38694.0,21.8,97385.0,3.1,,375500
183.0,TIGER 2차전지테마,21650.0,165.0,+0.77%,0.0,13380.0,61800.0,0.36,1258367.0,,,305540
184.0,한국앤컴퍼니,13790.0,90.0,+0.66%,500.0,13092.0,94935.0,9.19,65839.0,5.47,5.53,000240
185.0,제주항공,16930.0,350.0,+2.11%,1000.0,13035.0,76994.0,2.91,501312.0,-4.06,-135.83,089590
186.0,KODEX 2차전지산업,22800.0,160.0,+0.71%,0.0,12996.0,57000.0,0.9,1670977.0,,,305720
187.0,DGB금융지주,7680.0,210.0,-2.66%,5000.0,12990.0,169146.0,46.1,665638.0,2.71,9.63,139130
188.0,LX인터내셔널,33150.0,50.0,+0.15%,5000.0,12849.0,38760.0,31.22,179066.0,2.17,22.49,001120
189.0,GKL,20700.0,200.0,+0.98%,500.0,12804.0,61856.0,6.84,456740.0,-26.57,-26.04,114090
190.0,KODEX 삼성그룹,9300.0,60.0,+0.65%,0.0,12778.0,137400.0,0.06,197172.0,,,102780
191.0,에스엘,27400.0,1150.0,+4.38%,500.0,12727.0,46449.0,13.58,402866.0,10.3,6.63,005850
192.0,KODEX 단기채권PLUS,105640.0,0.0,0.00%,0.0,12593.0,11921.0,0.0,171777.0,,,214980
193.0,코오롱인더,45100.0,100.0,-0.22%,5000.0,12411.0,27519.0,18.39,75712.0,8.25,8.2,120110
194.0,동국제강,12920.0,20.0,+0.16%,5000.0,12330.0,95433.0,25.85,246969.0,1.68,23.41,001230
195.0,KBSTAR 200,32960.0,190.0,+0.58%,0.0,12278.0,37250.0,0.0,139030.0,,,148020
196.0,동원시스템즈,42100.0,0.0,0.00%,5000.0,12205.0,28991.0,13.45,20055.0,26.08,6.95,014820
197.0,DL,57900.0,200.0,-0.34%,5000.0,12133.0,20956.0,10.43,28034.0,32.69,26.52,000210
198.0,일진하이솔루스,33150.0,600.0,+1.84%,500.0,12038.0,36313.0,1.94,53110.0,132.6,4.97,271940
199.0,롯데제과,126900.0,1600.0,+1.28%,500.0,11972.0,9435.0,13.86,11391.0,23.2,2.88,280360
200.0,현대엘리베이,29000.0,150.0,+0.52%,5000.0,11836.0,40815.0,29.48,54766.0,8.26,10.62,017800
201.0,후성,12360.0,80.0,+0.65%,500.0,11662.0,94352.0,5.61,479463.0,16.07,9.61,093370
202.0,율촌화학,46500.0,1800.0,-3.73%,500.0,11532.0,24800.0,7.11,289636.0,-2447.37,2.44,008730
203.0,SK가스,124700.0,800.0,-0.64%,5000.0,11510.0,9230.0,5.06,7565.0,9.21,12.41,018670
204.0,영풍,620000.0,4000.0,-0.64%,5000.0,11421.0,1842.0,5.52,2318.0,5.09,3.66,000670
205.0,대덕전자,23000.0,750.0,+3.37%,500.0,11366.0,49417.0,18.16,444132.0,6.57,9.55,353200
206.0,신풍제약,21200.0,100.0,+0.47%,500.0,11233.0,52985.0,5.76,124492.0,-39.19,-3.19,019170
207.0,솔루엠,22400.0,350.0,+1.59%,500.0,11201.0,50006.0,9.75,250799.0,30.52,6.94,248070
208.0,아이에스동서,35750.0,200.0,-0.56%,500.0,11044.0,30893.0,4.82,126442.0,4.42,8.69,010780
209.0,코리안리,7750.0,20.0,-0.26%,500.0,10914.0,140823.0,29.58,160121.0,9.02,6.16,003690
210.0,한샘,46250.0,250.0,-0.54%,1000.0,10884.0,23534.0,14.61,34777.0,163.43,9.1,009240
211.0,대웅,18550.0,60.0,+0.32%,500.0,10785.0,58142.0,4.76,70951.0,8.64,11.13,003090
212.0,롯데관광개발,14760.0,40.0,-0.27%,500.0,10770.0,72967.0,2.97,596815.0,-4.69,-140.42,032350
213.0,더존비즈온,35250.0,50.0,+0.14%,500.0,10710.0,30383.0,21.26,52987.0,29.45,12.1,012510
214.0,현대건설기계,54200.0,1100.0,+2.07%,5000.0,10678.0,19701.0,22.05,244960.0,10.71,8.92,267270
215.0,F&F홀딩스,27250.0,0.0,0.00%,500.0,10659.0,39114.0,0.63,95066.0,8.98,153.88,007700
216.0,대한유화,162200.0,100.0,+0.06%,5000.0,10543.0,6500.0,5.28,28544.0,-14.01,7.64,006650
217.0,아시아나항공,14140.0,270.0,-1.87%,5000.0,10522.0,74412.0,8.51,306629.0,-5.64,-47.21,020560
218.0,TIGER 단기통안채,102525.0,5.0,0.00%,0.0,10502.0,10243.0,1.54,1732877.0,,,157450
219.0,SK리츠,5290.0,10.0,+0.19%,500.0,10398.0,196554.0,5.82,72739.0,129.02,0.83,395400
220.0,TIGER TOP10,10800.0,90.0,+0.84%,0.0,10368.0,96000.0,11.74,74966.0,,,292150
221.0,다우기술,22800.0,850.0,+3.87%,500.0,10230.0,44867.0,23.52,205690.0,3.58,21.11,023590
222.0,종근당,80800.0,600.0,-0.74%,2500.0,10155.0,12568.0,7.63,18248.0,14.36,7.65,185750
223.0,NHN,28000.0,100.0,-0.36%,500.0,10085.0,36017.0,14.04,43809.0,20.06,6.81,181710
224.0,오리온홀딩스,16070.0,100.0,+0.63%,500.0,10067.0,62645.0,5.78,69810.0,10.97,4.23,001800
225.0,하나투어,62400.0,200.0,+0.32%,500.0,10008.0,16039.0,6.63,63600.0,-10.05,-39.92,039130
226.0,한국콜마,43650.0,200.0,+0.46%,500.0,9988.0,22881.0,26.9,51275.0,33.55,5.48,161890
227.0,KODEX 인버스,4695.0,30.0,-0.63%,0.0,9953.0,212000.0,0.99,20696597.0,,,114800
228.0,명신산업,18890.0,970.0,+5.41%,500.0,9912.0,52470.0,3.67,1511216.0,14.31,18.85,009900
229.0,SK네트웍스,3990.0,30.0,-0.75%,2500.0,9903.0,248188.0,10.59,405117.0,25.58,4.64,001740
230.0,롯데렌탈,26900.0,50.0,+0.19%,5000.0,9855.0,36634.0,4.18,29375.0,9.77,12.28,089860
